price;Storage_Level;Feed_in;Feed_out;hourly_profit;profit_acc;
    42.00000;     0.75026;     0.00000;     0.00000;     0.00000;    80.19982;
    40.00000;     0.75021;     0.00000;     0.00000;     0.00000;    80.19982;
    41.00000;     0.75016;     0.00000;     0.00000;     0.00000;    80.19982;
    45.00000;     0.75011;     0.00000;     0.00000;     0.00000;    80.19982;
    52.00000;     0.50005;     0.00000;     0.25000;    13.00000;    93.19982;
    53.00000;     0.25002;     0.00000;     0.25000;    13.25000;   106.44982;
    48.00000;     0.00000;     0.00000;     0.25000;    12.00000;   118.44982;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   118.44982;
    39.00000;     0.00000;     0.00000;     0.00000;     0.00000;   118.44982;
    42.00000;     0.00000;     0.00000;     0.00000;     0.00000;   118.44982;
    41.00000;     0.00000;     0.00000;     0.00000;     0.00000;   118.44982;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   118.44982;
    37.00000;     0.00011;     0.00011;     0.00000;    -0.00471;   118.44511;
    34.00000;     0.25011;     0.25000;     0.00000;   -10.30303;   108.14208;
    32.00000;     0.50009;     0.25000;     0.00000;    -9.69697;    98.44511;
    31.00000;     0.75005;     0.25000;     0.00000;    -9.39394;    89.05117;
    35.00000;     1.00000;     0.25000;     0.00000;   -10.60606;    78.44511;
    38.00000;     1.00000;     0.00007;     0.00000;    -0.00322;    78.44189;
    41.00000;     1.00000;     0.00007;     0.00000;    -0.00348;    78.43841;
    45.00000;     0.99993;     0.00000;     0.00000;     0.00000;    78.43841;
    46.00000;     0.99986;     0.00000;     0.00000;     0.00000;    78.43841;
    48.00000;     0.99979;     0.00000;     0.00000;     0.00000;    78.43841;
    49.00000;     0.99972;     0.00000;     0.00000;     0.00000;    78.43841;
    50.00000;     0.99965;     0.00000;     0.00000;     0.00000;    78.43841;
    47.00000;     0.99958;     0.00000;     0.00000;     0.00000;    78.43841;
    46.00000;     0.99951;     0.00000;     0.00000;     0.00000;    78.43841;
    46.00000;     0.99944;     0.00000;     0.00000;     0.00000;    78.43841;
    51.00000;     0.75011;     0.00000;     0.24927;    12.71252;    91.15093;
    66.00000;     0.50005;     0.00000;     0.25000;    16.50000;   107.65093;
    61.00000;     0.25002;     0.00000;     0.25000;    15.25000;   122.90093;
    53.00000;     0.00000;     0.00000;     0.25000;    13.25000;   136.15093;
    41.00000;     0.00000;     0.00000;     0.00000;     0.00000;   136.15093;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   136.15093;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   136.15093;
    41.00000;     0.00000;     0.00000;     0.00000;     0.00000;   136.15093;
    41.00000;     0.00000;     0.00000;     0.00000;     0.00000;   136.15093;
    35.00000;     0.00011;     0.00011;     0.00000;    -0.00446;   136.14648;
    34.00000;     0.25011;     0.25000;     0.00000;   -10.30303;   125.84345;
    34.00000;     0.50009;     0.25000;     0.00000;   -10.30303;   115.54042;
    33.00000;     0.75005;     0.25000;     0.00000;   -10.00000;   105.54042;
    34.00000;     1.00000;     0.25000;     0.00000;   -10.30303;    95.23739;
    38.00000;     1.00000;     0.00007;     0.00000;    -0.00322;    95.23416;
    41.00000;     0.99993;     0.00000;     0.00000;     0.00000;    95.23416;
    41.00000;     1.00000;     0.00014;     0.00000;    -0.00696;    95.22720;
    43.00000;     0.99993;     0.00000;     0.00000;     0.00000;    95.22720;
    49.00000;     0.99986;     0.00000;     0.00000;     0.00000;    95.22720;
    50.00000;     0.99979;     0.00000;     0.00000;     0.00000;    95.22720;
    49.00000;     0.99972;     0.00000;     0.00000;     0.00000;    95.22720;
    49.00000;     0.99965;     0.00000;     0.00000;     0.00000;    95.22720;
    43.00000;     0.99958;     0.00000;     0.00000;     0.00000;    95.22720;
    42.00000;     1.00000;     0.00049;     0.00000;    -0.02494;    95.20226;
    50.00000;     0.99993;     0.00000;     0.00000;     0.00000;    95.20226;
    61.00000;     0.74986;     0.00000;     0.25000;    15.25000;   110.45226;
    60.00000;     0.49981;     0.00000;     0.25000;    15.00000;   125.45226;
    53.00000;     0.24977;     0.00000;     0.25000;    13.25000;   138.70226;
    48.00000;     0.24976;     0.00000;     0.00000;     0.00000;   138.70226;
    49.00000;     0.24974;     0.00000;     0.00000;     0.00000;   138.70226;
    51.00000;     0.00000;     0.00000;     0.24972;    12.73572;   151.43799;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;   151.43799;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   151.43799;
    37.00000;     0.00000;     0.00000;     0.00000;     0.00000;   151.43799;
    36.00000;     0.00011;     0.00011;     0.00000;    -0.00458;   151.43340;
